ID,Name,ChineseName,VideoCount
28650,alex (totally spies),亚历克斯 (间谍亚特兰蒂斯),32
11334,alex chen (life is strange),亚历克斯·陈 (奇异人生：本色) (奇异人生),64
193401,alex himura (vtuber),亚历克斯·日村 (VTuber/虚拟主播),20
5876,alexa bliss (wwe),Alexa 幸福 (WWE),49
35610,alexandra (genshin impact),亚历山德拉 (原神),4
2032,alexandraus,亚历山大,6
133319,alexandrina sebastiane (zenless zone zero),艾莲·乔 (绝区零),95
37250,alexia midgar (the eminence in shadow),亚历克西娅·米德加 (阴影中的显赫地位),4
3293,alexia vo,亚历克西娅·沃,17
78189,alexis rhodes (yu-gi-oh),亚历克西斯·罗兹 (游戏王),15
88,alexstrasza (world of warcraft),阿力克斯塔萨 (魔兽世界),216
94959,alfira (baldurs gate),阿尔菲拉 (博德之门),4
37042,alhaitham (genshin impact),阿尔海瑟姆 (原神),16
1967,alibi,不在场证明,4
15356,alice (alice in wonderland),爱丽丝 (爱丽丝梦游仙境),25
41895,alice (nikke goddess of victory),爱丽丝 (尼克胜利女神),54
51426,alice angel (bendy),爱丽丝天使 (本迪),18
38117,alice kisaragi (sentouin hakenshimasu!),如月爱丽丝 (战斗员派遣中！),1
28054,alice liddell,爱丽丝·利德尔,8
29548,alice margatroid (touhou),爱丽丝·玛格特罗依德 (东方Project),46
36437,alice nakiri (shokugeki no souma),爱丽丝·纳基里 (食戟之灵),22
42717,alice tendou (blue archive),爱丽丝天道 (蔚蓝档案),42
187721,alice thymefield (zenless zone zero),爱丽丝·赛姆菲尔德 (绝区零),221
115155,alice zuberg (sword art online),爱丽丝·滋贝鲁格 (刀剑神域),10
27544,alicia acorn,艾丽西亚橡子,5
8319,alien cock,外星人公鸡,566
10510,alien creature,外星生物,1059
5176,alien genitalia,外星人生殖器,186
5848,alienabduction,外星人绑架,27
561,aliens,外星人,567
50054,alina gray (the puella magi),艾莉娜·格雷 (魔法门),1
44881,alina grey (the puella magi),阿丽娜·格雷 (魔法门),27
269,alisa bosconovitch (tekken),艾丽莎·博斯科诺维奇 (铁拳),7
39239,alisa bosconovitch (tekken),艾丽莎·博斯科诺维奇 (铁拳),18
45441,alisa ilinichina amiella (god eater),艾莉莎·伊莉妮琪娜·阿米埃拉 (噬神者),8
78139,alisaie (final fantasy),阿利塞耶 (最终幻想),2
80939,alisaie leveilleur (final fantasy),阿莉塞·莱韦耶勒尔 (最终幻想),45
26637,alistar (league of legends),阿利斯塔 (英雄联盟),12
28544,alita (alite battle angel),阿丽塔 (阿利特战斗天使),5
3046,all fours,四肢着地,707
27545,all grown up,都长大了,2
48014,all might (my hero academia),欧尔麦特 (我的英雄学院),4
1437,all the way through,贯穿,708
11135,all the way to the base,一路到达基地,101
7042,alley,小巷,326
32582,alli (fortnite),阿里 (堡垒之夜),15
6094,alliance,联盟,3
3536,alliance (warcraft),联盟 (魔兽世界),12
4272,allie (slipperyt),艾莉 (滑溜),22
5844,allsex,所有性,27
162029,alma (monster hunter),阿尔玛 (怪物猎人),51
169889,alma lexentale (final fantasy),阿尔玛莱森塔莱 (最终幻想),3
6164,almightypatty,万能的帕蒂,3
186397,almond eye (umamusu),杏仁眼 (马穆苏),4
62,alori (world of warcraft),阿洛里 (魔兽世界),178
212,aloy (horizon zero dawn),合金 (地平线：零之曙光),80
5135,alphys,艾菲斯,49
26225,already uploaded,已经上传,2
46063,alt cunningham (cyberpunk 2077),奥特·坎宁安 (赛博朋克2077) (赛博朋克2077),25
119232,alter (apex legends),改变 (Apex英雄),3
4672,alternate ass size,臀部尺寸差异,47
4673,alternate breast size,改变乳房大小,162
1883,alternate costume,替换服装,321
6868,alternate form,替换形态,104
4539,alternate hairstyle,不同发型,52
5169,alternate view,侧视图,38
26171,alucard (castlevania),阿鲁卡德 (恶魔城),3
95814,alvitr (honkai impact),阿尔维特尔 (崩坏3),1
148778,alya-san (tokidoki bosotto russian de dereru tonari no alya-san),艾莉亚桑 (Tokidoki bosotto Russian de dereru tonari no alya-san),102
1979,alynisa,艾琳莎,14
38960,alyssa (chronicles of eden),艾莉莎 (伊甸园编年史),1
42042,alyssa zaidelle (final fantasy),艾莉莎·扎伊德尔 (最终幻想),4
228,alyx vance (half-life),艾利克斯·凡斯 (半衰期),101
3304,alyxreplace,alyx替换,2
182069,amagai ruka (vtuber),天谷瑠花 (VTuber/虚拟主播),7
58340,amamiya kokoro (vtuber),天宫心 (VTuber/虚拟主播),20
607,amamiya ren (persona),雨宫莲 (女神异闻录),3
62694,amana osaki (the idolmaster),大崎阿名名 (偶像大师),10
251,brooke scott (life is strange),布鲁克·斯科特 (奇异人生),0
5924,moral support,道义上的支持,0
29025,shirogane noel (vtuber),白银诺艾尔 (VTuber/虚拟主播),0
2858,platinum blonde hair,白金金发,0
1880,sybian,赛比安,0
32657,pathfinder (apex legends),探路者 (Apex英雄),0
86619,bengal tiger (kemono friends),孟加拉虎 (兽娘动物园),0
4658,source,来源,0
43376,shizuru hoshino (princess connect),星野静 (公主连结),0
45704,mary linton (red dead redemption),玛丽·林顿 (荒野大镖客：救赎),0
148176,roccia (wuthering waves),罗恰 (鸣潮),0
33951,nia (xenoblade),尼亚 (异度之刃),0
5838,appletin,苹果素,0
4271,after masturbation,自慰后,0
128622,wooloo (pokemon),毛辫羊 (宝可梦),0
35653,ikishima midari (kekgurui),生志摩妄 (狂赌之渊),0
2772,orville (animal crossing),奥维尔 (动物森友会),0
5364,female on bottom,女性在底部,0
33,christie (dead or alive),克里斯蒂 (死或生),0
29088,itto arataki (genshin impact),一藤荒泷 (原神),0
119,operator 6o (nier automata),通信官 6O (尼尔自动机),0
41781,chai (hifi rush),柴 (高保真热潮),0
2795,clothed,穿衣服,0
3455,whip marks,鞭痕,0
165237,mimimi utsukushisugi (100kanojo),美美美美杉杉 (超超超超超喜欢你的100个女朋友),0
371,amanda ripley (alien isolation),阿曼达·里普利 (外星人隔离),6
32549,amanda young (dead by daylight),阿曼达·杨 (黎明杀机),3
32938,amane kanata (vtuber),天音彼方 (VTuber/虚拟主播),65
3928,amara (borderlands),阿马拉 (边境地区),14
5226,amari,阿玛瑞,7
41421,amaterasu (okami),天照 (大神),14
1648,amateurthrowaway,业余一次性,27
150320,amatsukaze (kancolle),天风 (坎科莱),129
50216,amau ako (blue archive),甘羽赤子 (蔚蓝档案),120
6198,amazing world of gumball,口香糖的奇妙世界,41
4496,amazon,亚马逊,94
2800,amazon position,亚马逊式,635
4497,amazonium,亚马逊,19
5219,amber,琥珀色,31
25846,amber (genshin impact),琥珀色 (原神),320
7014,amber (peculiart),琥珀色 (特有的),1
6900,amber eyes,琥珀色的眼睛,86
5535,ambiguous gender,性别不明,47
3353,ambiguous penetration,暧昧渗透,472
1738,ambrosine,Ambrosine,24
3161,ambrosine92,安布罗辛92,24
3935,ambush (trap),埋伏 (伪娘),66
6921,amelia n.,阿米莉亚,2
29110,amelia watson (vtuber),阿米莉亚·沃森 (VTuber/虚拟主播),121
41975,ameliance (final fantasy),阿梅利安斯 (最终幻想),39
35175,amelie (death stranding),amelie (死亡搁浅),2
10513,american dad,美国爸爸,33
25591,amethyst (steven universe),紫晶 (宇宙小子),31
59609,ami bandicoot (crash bandicoot),阿米班迪科特 (古惑狼),6
11213,ami mizuno (sailor moon),水野亚美 (美少女战士),45
35367,amicia (plague tale),阿米西亚 (瘟疫故事),4
37656,amita (far cry),阿弥陀 (孤岛惊魂),2
11292,amity blight,艾米提·布莱特,1
101740,amity blight (the owl house),艾米提·布莱特 (奇幻猫头鹰小屋),22
146775,amiya (arknights),阿米亚 (明日方舟),31
48558,amoonguss (pokemon),败露球菇 (宝可梦),2
82794,ampharos (pokemon),电龙 (宝可梦),8
26967,amphibia,奇幻沼泽,16
26892,amputee,截肢,123
1230,amun,阿蒙,22
198774,amy (dead or alive),艾米 (死或生),7
28300,amy (soul calibur),艾米 (灵魂能力),14
6573,amy rose (sonic),艾咪·罗斯 (刺猬索尼克),1334
26052,amy wong (futurama),艾米·王 (飞出个未来),34
1056,ana (overwatch),安娜 (守望先锋),241
382,ana amari (overwatch),安娜阿马里 (守望先锋),225
148065,ana larive (killing floor),阿纳拉里夫 (杀戮空间),1
42957,ana spelunky (spelunky),安娜洞穴探险 (洞穴般的),3
171325,anabella rosfield (final fantasy),安娜贝拉·罗斯菲尔德 (最终幻想),9
26649,anais watterson,安奈丝·沃特森,7
13,anal,肛门,42573
3734,anal beads,肛珠,464
4161,anal creampie,肛门体内射精,11033
25737,anal cumdrip,肛门 cumdrip,2332
3525,anal grip,肛门夹持,818
35358,anal vore,肛门吞噬,1196
5175,anarchygentleman,无政府主义绅士,1
2267,anaru,阿纳鲁,5
11201,anastasia bray (destiny),阿纳斯塔西娅·布雷 (命运),2
84989,anastasia nikolaevna romanova (fate),阿纳斯塔西娅·尼古拉耶夫娜·罗马诺娃 (Fate系列),9
119316,anby demara (zenless zone zero),安比·德马拉 (绝区零),178
77294,anchorage (azur lane),锚地 (碧蓝航线),24
4168,ancient,古代,20
4397,andrastae,安德拉斯塔,6
28400,andrea martinez (hitman),安德里亚·马丁内斯 (杀手),3
1122,android,机器人,986
584,android 18 (dbz),人造人18号 (数据库),423
585,android 21 (dbz),人造人21号 (数据库),155
128316,andy (tcoaal),安迪 (煤炭),5
50172,Ange Ushiromiya (07th Expansion),安格·乌宫 (07期扩展),1
2046,angel,天使,274
9662,angel (kof),天使 (拳皇),46
11052,angel (pellenor),天使 (佩勒诺尔),1
27666,angel dust (hazbin hotel),天使尘 (地狱客栈),72
2047,angel wings,天使翅膀,37
35138,angela (mobile legends bang bang),安吉拉 (移动传奇爆炸),1
37573,angela (trials of mana),安吉拉 (法力试炼),6
6822,angela cross,安吉拉·克罗斯,7
5789,angela ziegler,安吉拉·齐格勒,61
85944,angelica ainsworth (fate grand order),安洁莉卡·艾因兹沃斯 (命运大秩序),1
48909,angelica rapha redgrave (mobuseka),当归·拉法·雷德格瑞夫 (莫布塞卡),4
26910,angewomon (digimon),天女兽 (数码宝贝),47
5396,angry,生气,472
40223,angry sex,愤怒性爱,162
5772,anianiboy,anianiboy,4
49746,anila (granblue fantasy),阿尼拉 (碧蓝幻想),19
2247,animal ears,兽耳,940
2407,animal genitalia,动物生殖器,1568
26278,animal on animal,动物对动物,22
26268,animal on furry,毛茸茸的动物,32
40248,animal penis,兽茎,618
3383,animate inanimate,有生命 无生命,6
1144,animation,动画,19921
48948,animatronic,机械人偶,430
1203,anime,动漫,4101
6238,anime girl,动漫女孩,1501
6787,animmage,动画,4
44366,anis (nikke goddess of victory),茴香 (尼克胜利女神),210
2093,anjanath,蛮颚龙,1
5964,ankha (animal crossing),安卡 (动物森友会),601
5757,ankle cuffs,脚镣,10
5758,anklet,脚链,9
25818,anko mitarashi (naruto),红豆御手洗 (火影忍者),6
2651,ann takamaki (persona),高卷安 (女神异闻录),188
32548,anna (dead by daylight),安娜 (黎明杀机),35
32498,anna (fire emblem),安娜 (火焰纹章),7
5614,anna (frozen),安娜 (冰冻),125
236,anna henrietta (the witcher),安娜·亨丽埃塔 (巫师),151
855,anna melnikova (metro),安娜梅尔尼科娃 (地铁),9
6398,anna miller (metro exodus),安娜米勒 (地铁出走),26
215226,anna williams (tekken),安娜·威廉姆斯 (铁拳),11
132422,anna yanami (too many losing heroines),八奈安娜 (太多失败的女主角),28
99395,annbee (woebeeme),安比 (沃比姆),15
26968,anne boonchuy (amphibia),安妮·布隆切 (奇幻沼泽),13
23841,anne cunningham,安妮·坎宁安,5
559,anne henrietta (the witcher),安妮·亨利埃塔 (巫师),7
151190,annerose vajra (taimanin),安妮罗洁·瓦杰拉 (对魔忍),15
42151,annette (fire emblem),安妮特 (火焰纹章),8
39390,annette birkin (resident evil),亚妮·柏金 (生化危机),41
29206,annie (league of legends),安妮 (英雄联盟),4
243,serath (paragon),塞拉特 (模范),0
37251,azaan the eternal (paladins),永恒的阿扎安 (枪火游侠),0
11247,tape,胶带,0
73449,german,德语,0
164369,Fujibayashi Naoe (assassins creed),藤林直江 (刺客的信条),0
6649,arawaraw,arawaraw,0
25930,shinji ikari (Evangelion),碇真司 (新世纪福音战士),0
25786,sweaty breasts,汗湿的胸部,0
25470,seer (apex legends),先知 (Apex英雄),0
9156,mama (death stranding),妈妈 (死亡搁浅),0
2992,shy,害羞,0
404,bleach,死神,0
51642,roon (azur lane),罗恩 (碧蓝航线),0
95759,prometheus (honkai impact),普罗米修斯 (崩坏3),0
38961,montgomery gator (fnaf),蒙哥马利鳄鱼 (玩具熊的五夜后宫),0
95779,erdos helia (honkai impact),赫丽娅 (崩坏3) (崩坏3),0
29894,Yunyun (Kono Subarashii),云云 (为美好的世界献上祝福！),0
26406,nurse redheart,护士红心,0
4927,no humans,无人类,0
75084,hanya (honkai star rail),哈尼亚 (崩坏：星穹铁道),0
38380,natsuki (doki doki literature club),夏希 (心跳文学部),0
56828,sun wukong (rwby),孙悟空 (RWBY),0
42251,w (arknights),草 (明日方舟),0
5065,no panties under skirt,裙子下没有内裤,0
6196,princessleia,莱娅公主,0
28301,annie leonhart (attack on titan),阿尼·利昂纳德 (进击的巨人),93
41227,announcing orgasm,宣布高潮,19
148682,anny (vtuber),安妮 (VTuber/虚拟主播),7
7691,anonymous,匿名,42
4262,anosluz,anosluz,3
216114,anran (overwatch),安然 (守望先锋),118
1701,Anteiku,安帝库,1
1512,anthro,人类,7055
2739,anthro on anthro,人类对人类,2196
2785,anthro on female,人类对女性,377
32409,anthro on furry,毛茸茸的人类,257
2786,anthro on human,人类对人类,1767
4214,anthro only,仅限人类,672
2740,anthro penetrated,人类渗透,2077
2741,anthro penetrating,人类渗透,964
2742,anthro penetrating anthro,人类渗透 人类,462
4422,anthrofied,拟人化,145
37674,anti mage (dota),反法师 (刀塔),3
39329,anti mage persona (dota 2),反法师角色 (DOTA 2),2
1243,anti-aqua,抗水,3
5025,anti-she-venom,抗她毒液,2
5026,anti-venom,反毒液,2
5550,antler grab,鹿角抓握,3
5551,antlers,鹿角,18
47648,antonia (fortnite),安东尼娅 (堡垒之夜),19
11190,anubis,阿努比斯,127
86879,anubis (palworld),阿努比斯 (幻兽帕鲁),15
11118,anus,肛门,2677
64084,anya melfissa (vtuber),阿尼娅·梅尔菲莎 (VTuber/虚拟主播),15
40486,anya stroud (gears of war),安雅·斯特劳德 (战争机器),3
30448,aoi asahina (danganronpa),朝比葵 (弹丸论破),6
43411,aoi kanzaki (demon slayer),神崎葵 (鬼灭之刃),27
48009,aoi todo (jujutsu kaisen),东堂葵 (咒术回战),3
44618,aoki reika (pretty cure),青木丽华 (相当治愈),2
36438,aoko aozaki (melty blood),青崎青子 (月姬格斗),5
1232,aphrodite,阿佛洛狄忒,13
6258,aphrodite (ascendant one),阿佛洛狄忒 (上升一),7
93874,aphrodite (fortnite),阿佛洛狄忒 (堡垒之夜),60
34068,aphrodite (record of ragnarok),阿佛洛狄忒 (仙境传说的记录),3
37673,aponia (honkai impact),阿波尼亚 (崩坏3),79
1290,apple bloom (mlp),小苹花 (小马宝莉),121
2960,applejack (mlp),苹果嘉儿 (小马宝莉),448
5838,appletin,苹果素,1
146238,apricot (froot),杏 (果根),23
618,april o'neil (tmnt),艾普利尔·奥尼尔 (忍者神龟),61
26678,apron,围裙,99
2429,aqua,水色,29
38172,aqua (kingdom hearts),阿夸 (王国之心),34
3621,aqua (konosuba),阿夸 (科诺苏巴),435
3000,aqua eyes,水色瞳,15
44804,aqua hoshino (oshi no ko),星野水 (我推的孩子),7
45054,aquila (kantai collection),天鹰座 (舰队Collection),1
1142,arab,阿拉伯,24
5980,arachnid,蜘蛛,69
268,aranea highwind (final fantasy),阿拉尼雅·海温德 (最终幻想),218
40997,arataki itto (genshin impact),荒泷一斗 (原神),27
6649,arawaraw,arawaraw,6
7730,arbiter,仲裁者,9
6809,arbok (pokemon),阿柏怪 (宝可梦),8
4353,arcade,街机厅,41
4354,arcade machine,街机,11
394,arcanine (pokemon),风速狗 (宝可梦),27
117390,arcee (transformers),阿尔茜 (变形金刚),44
486,archangel auriel (diablo),大天使奥瑞尔 (暗黑破坏神),2
2125,arched back,弓背,171
27689,archer,弓箭手,11
38171,arcueid brunestud (shingetsutan tsukihime),爱尔奎特·布伦史塔德 (真月潭月姬),12
2562,areola,乳晕,7574
28490,arezu (pokemon),阿雷祖 (宝可梦),27
1032,argonian (skyrim),亚龙人 (天际),285
9282,aria (slyxxx24),咏叹调 (slyxxx24),2
228973,aria (zenless zone zero),咏叹调 (绝区零),70
27490,aria blaze,咏叹调烈焰,24
1872,aria t'loak,阿丽亚·T'洛克,4
9281,aria t'loak (mass effect),阿丽亚·T'洛克 (质量效应),35
39509,ariana grande (fortnite),爱莉安娜·格兰德 (堡垒之夜),69
6453,ariel (the little mermaid),爱丽儿 (小美人鱼),23
698,arisha (vindictus),阿里沙 (复仇),8
32392,arisugawa natsuha (the idolmaster),有栖川夏叶 (偶像大师),3
48812,ark (fortnite),方舟 (堡垒之夜),12
6865,ark survival evolved,方舟：生存进化,14
27206,arknights,明日方舟,319
47757,arlecchino (genshin impact),阿莱基诺 (原神),628
4674,arm grab,手臂抓住,277
4088,arm guards,护臂,5
6922,arm held back,反手绑,22
4853,arm sleeves,手臂袖子,179
4498,arm support,手臂支撑,32
6424,arm up,举手,17
27202,armin arlert (attack on titan),阿明·阿诺德 (进击的巨人),16
2547,armor,铠甲,469
3309,armpit hair,腋毛,65
6428,armpit licking,舔腋窝,125
7054,armpit sex,腋交,277
4878,armpits,腋下,864
7769,arms around neck,勾住脖子,36
4879,arms behind head,双手抱头,534
8137,arms tied,双臂被绑,153
3609,arms up,举起双手,149
5759,armwear,手臂,45
1675,arnoldthehero,阿诺英雄,14
